studentID,sex,fil1,eng1,math1,ap1,fil2,eng2,math2,ap2,fil3,eng3,math3,sci3,ap3,fil4,eng4,math4,sci4,ap4,fil5,eng5,math5,sci5,ap5,fil6,eng6,math6,sci6,ap6,proficiency,mps,age
102283180436,M,79.0,79.0,79.0,79.0,80,79,79,80,82,82,81,82,80,79,78,76,80,78,79,78,77,78,78,79,79,80,78,80,Low Proficient,39.0,12
101793160047,M,86.0,86.0,87.0,87.0,87,87,86,86,84,83,82,82,83,81,80,80,81,81,83,82,82,82,83,90,89,86,86,88,Low Proficient,39.0,15
102283180198,M,86.0,85.0,87.0,88.0,87,86,86,87,88,87,86,86,86,84,83,84,83,83,87,85,84,83,86,84,85,82,83,85,Low Proficient,39.0,13
400319180019,F,91.0,89.0,88.0,89.0,91,90,93,92,92,92,92,92,92,90,89,89,89,88,88,88,89,90,90,91,90,90,89,89,Low Proficient,39.0,13
412073180020,F,79.0,80.0,79.0,79.0,85,84,84,85,83,84,83,83,82,87,85,82,83,85,84,85,82,83,84,86,88,82,82,84,Low Proficient,39.0,12
102283180398,F,81.0,82.0,82.0,83.0,85,85,85,86,84,83,83,82,84,83,82,82,82,83,82,81,81,81,82,86,84,82,82,84,Low Proficient,39.0,12
500367180007,M,78.0,77.0,77.0,80.0,79,79,79,79,80,80,80,80,80,86,83,83,83,84,87,86,85,87,87,83,85,83,82,86,Low Proficient,39.0,13
102283180248,M,80.0,79.0,80.0,82.0,84,83,83,84,84,83,84,83,84,80,79,79,79,80,81,81,81,80,81,86,85,82,82,85,Low Proficient,39.0,13
102283180073,F,78.0,75.0,78.0,77.0,80,80,80,80,80,79,79,80,80,81,80,80,81,82,75,75,76,75,76,79,80,78,79,80,Low Proficient,39.0,13
102283180220,F,80.0,80.0,80.0,85.0,79,79,79,79,83,82,82,82,83,85,85,86,85,84,87,88,85,85,86,87,86,85,85,87,Low Proficient,39.0,13
102283180471,M,81.0,81.0,83.0,82.0,87,85,87,86,87,86,86,86,87,82,82,84,82,82,86,84,84,82,85,86,84,80,80,83,Low Proficient,39.0,13
102283180237,F,89.0,90.0,88.0,91.0,92,91,91,91,88,87,87,87,88,86,84,83,84,85,88,87,86,87,88,92,89,88,86,86,Low Proficient,39.0,12
102283180208,M,84.0,84.0,85.0,86.0,89,88,88,88,85,84,84,83,85,84,82,82,83,83,84,85,84,84,83,83,85,83,83,83,Low Proficient,39.0,12
101756180117,F,91.0,92.0,89.0,89.0,92,92,92,91,89,88,90,90,88,90,89,88,88,89,87,86,86,87,87,90,90,88,85,86,Low Proficient,39.0,13
102283180293,M,76.0,76.0,76.0,78.0,83,82,82,83,82,82,81,82,82,85,85,84,84,85,85,84,83,84,85,87,87,82,84,87,Low Proficient,39.0,13
102283180397,F,86.0,86.0,87.0,88.0,89,88,90,89,89,88,88,87,87,89,90,88,90,89,88,88,88,88,89,89,89,85,84,86,Low Proficient,39.0,12
102283180291,M,78.0,78.0,78.0,79.0,83,82,83,84,83,81,82,82,82,83,81,80,83,83,82,81,82,81,82,84,85,81,81,86,Low Proficient,39.0,13
102283180258,F,83.0,82.0,84.0,84.0,85,83,85,85,84,84,82,82,85,85,85,86,84,85,88,87,86,88,87,91,89,89,84,85,Low Proficient,39.0,13
102283180294,M,81.0,81.0,82.0,84.0,88,86,87,87,86,85,86,86,86,84,83,86,83,83,85,81,81,81,83,80,81,83,79,84,Low Proficient,39.0,13
102283180556,M,84.0,83.0,84.0,83.0,88,86,86,87,87,85,85,86,87,91,91,92,91,91,89,87,86,87,91,88,88,87,88,87,Low Proficient,39.0,13
102283180405,M,83.0,81.0,83.0,83.0,86,85,85,86,84,84,82,81,83,84,85,88,85,85,84,83,85,84,85,83,84,85,83,85,Low Proficient,39.0,12
102283180308,F,88.0,88.0,88.0,90.0,87,89,88,86,89,85,85,85,85,82,81,78,84,86,81,80,80,80,81,80,82,83,81,81,Low Proficient,39.0,12
105387160097,M,76.0,77.0,76.0,76.0,81,80,80,81,77,76,76,77,77,81,81,81,81,85,87,86,80,83,86,80,80,82,79,79,Low Proficient,39.0,14
500007180027,M,76.0,75.0,77.0,79.0,82,81,80,81,82,82,81,82,82,82,81,80,80,85,83,83,83,83,84,83,83,84,82,83,Low Proficient,39.0,13
136716180026,F,85.0,83.0,84.0,86.0,86,88,85,86,88,87,86,87,86,89,83,85,88,85,85,85,84,85,86,92,94,88,88,90,Low Proficient,39.0,13
102283180044,M,77.0,76.0,78.0,79.0,86,84,84,86,86,83,83,83,85,84,83,84,85,86,88,87,86,87,84,86,85,84,84,85,Low Proficient,39.0,13
102283180558,M,84.0,84.0,86.0,84.0,86,85,86,87,84,82,83,84,84,85,84,83,83,85,87,86,85,87,89,86,85,83,83,85,Low Proficient,39.0,13
102283180281,M,85.0,85.0,86.0,85.0,87,86,86,87,85,84,84,84,86,81,79,79,80,80,83,82,82,82,82,88,87,86,86,87,Low Proficient,39.0,13
102283170510,M,78.0,78.0,78.0,78.0,82,80,80,82,82,80,80,80,81,86,86,87,80,85,87,86,88,88,88,86,85,87,85,87,Low Proficient,39.0,14
102283180514,M,78.0,75.0,77.0,78.0,75,75,75,75,79,78,78,78,79,81,80,79,79,79,80,80,79,79,81,80,80,81,80,81,Low Proficient,39.0,12
102283180350,M,87.0,87.0,89.0,89.0,90,89,89,89,87,86,87,86,86,82,81,80,80,80,84,82,82,82,83,82,84,86,83,85,Low Proficient,39.0,13
102283180206,M,87.0,83.0,82.0,86.0,86,84,84,84,84,84,83,83,84,82,81,82,81,82,82,82,81,82,83,85,86,82,82,85,Low Proficient,39.0,12
117858180193,F,79.0,79.0,79.0,78.0,75,75,75,75,78,78,78,78,78,82,81,81,81,83,80,80,81,80,82,78,79,83,78,79,Low Proficient,39.0,14
102283180494,F,85.0,86.0,84.0,84.0,86,84,84,87,85,83,83,85,86,84,84,84,84,84,86,84,84,84,84,85,85,82,81,83,Low Proficient,39.0,13
