studentID,School,age,sex,mother tongue,BMI/nutrional status,Grade 1 Final ratings in Math,Grade 1 Final ratings in English,Grade 1 Final ratings in Filipino,Grade 1 Final ratings in Araling Panlipunan,Grade 2 Final ratings in Math,Grade 2 Final ratings in English,Grade 2 Final ratings in Filipino,Grade 2 Final ratings in Araling Panlipunan,Grade 3 Final ratings in Math,Grade 3 Final ratings in English,Grade 3 Final ratings in Science,Grade 3 Final ratings in Filipino,Grade 3 Final ratings in Araling Panlipunan,Grade 4 Final ratings in Math,Grade 4 Final ratings in English,Grade 4 Final ratings in Science,Grade 4 Final ratings in Filipino,Grade 4 Final ratings in Araling Panlipunan,Grade 5 Final ratings in Math,Grade 5 Final ratings in English,Grade 5 Final ratings in Science,Grade 5 Final ratings in Filipino,Grade 5 Final ratings in Araling Panlipunan,Grade 6 Final ratings in Math,Grade 6 Final ratings in English,Grade 6 Final ratings in Science,Grade 6 Final ratings in Filipino,Grade 6 Final ratings in Araling Panlipunan,School MPS
S0001,Urdaneta I Central School,9,M,Tagalog,Obese,82,96,99,91,80,98,100,80,92,80,93,98,94,80,76,88,85,85,97,87,82,84,100,79,93,76,76,93,66.82
S0002,Urdaneta I Central School,12,M,Tagalog,Normal,93,78,79,82,95,99,82,95,87,88,85,98,77,82,96,80,81,92,83,85,94,98,95,91,78,87,93,75,66.82
S0003,Urdaneta I Central School,9,F,Filipino,Obese,86,75,75,82,88,76,85,92,89,82,92,95,96,94,95,77,85,76,94,79,76,94,76,77,80,94,79,90,66.82
S0004,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Ilocano,Severely Wasted,89,90,92,80,90,76,75,90,76,77,76,88,92,97,76,78,76,93,97,100,92,84,91,79,98,82,77,95,75.71
S0005,Urdaneta I Central School,6,F,Ilocano,Overweight,99,86,94,82,95,82,82,87,82,87,77,84,91,92,91,96,85,91,87,78,80,98,98,90,84,97,88,86,66.82
S0006,Don Amadeo Perez Sr. Memorial Elementary CS-East,8,F,Tagalog,Severely Wasted,79,90,78,82,81,82,99,76,91,82,82,84,93,82,87,85,100,100,81,96,84,95,80,95,86,91,86,94,75.71
S0007,Don Alipio Fernandes Sr. IS,10,F,Tagalog,Overweight,100,88,90,90,87,90,86,97,94,80,93,86,96,76,86,86,91,83,97,86,94,78,92,94,91,89,75,92,73.08
S0008,Urdaneta I Central School,6,M,Ilocano,Overweight,75,82,85,87,79,93,94,82,97,95,88,93,89,86,85,80,77,89,76,97,89,77,78,92,84,89,82,91,66.82
S0009,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Ilocano,Obese,87,90,94,95,88,98,91,81,88,87,92,86,91,78,84,82,100,100,78,78,84,98,95,81,81,94,95,86,75.71
S0010,Don Amadeo Perez Sr. Memorial Elementary CS-East,9,M,Tagalog,Normal,100,94,75,79,98,94,99,75,82,75,78,86,82,93,83,90,77,83,78,91,94,84,82,80,95,94,83,85,75.71
S0011,Don Amadeo Perez Sr. Memorial Elementary CS-East,11,M,Ilocano,Severely Wasted,83,82,78,89,81,95,99,100,96,83,100,79,85,89,82,83,89,76,100,79,100,80,87,76,86,87,97,87,75.71
S0012,Don Alipio Fernandes Sr. IS,6,M,Filipino,Obese,97,78,98,78,75,87,88,88,82,100,76,90,98,98,78,93,88,98,100,91,80,91,89,92,78,86,97,93,73.08
S0013,Urdaneta I Central School,12,M,Ilocano,Overweight,80,98,87,91,97,84,78,78,88,88,84,81,93,92,85,80,89,99,83,89,94,84,87,99,98,82,99,90,66.82
S0014,Don Alipio Fernandes Sr. IS,11,F,Filipino,Normal,87,88,86,97,96,100,79,86,86,85,88,75,98,90,80,95,80,99,77,98,100,89,75,78,97,83,83,90,73.08
S0015,Don Amadeo Perez Sr. Memorial Elementary CS-East,10,M,Tagalog,Overweight,86,85,77,76,88,95,91,80,88,93,100,98,80,91,98,83,77,100,83,79,88,75,100,92,80,93,90,83,75.71
S0016,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,F,Filipino,Obese,77,97,78,86,91,81,86,98,86,78,84,100,83,80,98,100,85,97,78,80,79,77,90,78,86,92,89,86,75.71
S0017,Urdaneta I Central School,9,F,Filipino,Wasted,99,76,91,91,93,97,94,93,82,88,76,87,82,89,90,97,100,86,78,93,84,83,79,88,76,92,96,88,66.82
S0018,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,F,Ilocano,Normal,75,96,80,80,96,82,84,96,96,99,91,75,87,87,91,87,87,86,88,90,75,76,84,100,94,87,79,92,75.71
S0019,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Ilocano,Obese,94,100,93,83,93,79,85,86,89,89,93,100,76,75,80,92,83,90,96,90,77,85,86,85,80,75,88,82,75.71
S0020,Don Alipio Fernandes Sr. IS,12,F,Filipino,Overweight,80,96,87,90,80,89,94,92,78,94,76,77,93,78,92,99,95,81,81,80,99,76,78,97,83,93,97,84,73.08
S0021,Don Alipio Fernandes Sr. IS,8,F,Ilocano,Overweight,78,82,96,77,90,95,77,98,90,78,86,95,93,77,88,85,92,83,86,97,88,86,90,93,82,93,88,96,73.08
S0022,Urdaneta I Central School,11,F,Ilocano,Normal,75,79,90,76,90,85,92,92,82,100,99,94,80,97,92,75,94,78,85,75,81,94,78,97,75,83,94,76,66.82
S0023,Don Alipio Fernandes Sr. IS,10,F,Filipino,Severely Wasted,92,78,82,79,85,84,78,78,80,81,95,79,84,79,100,97,88,76,77,77,84,86,79,78,78,83,99,90,73.08
S0024,Don Alipio Fernandes Sr. IS,8,F,Ilocano,Obese,77,89,75,85,78,81,94,84,82,95,90,80,93,97,92,75,89,81,76,98,80,95,79,98,92,93,75,76,73.08
S0025,Don Alipio Fernandes Sr. IS,10,M,Tagalog,Normal,84,83,78,97,84,80,78,90,83,87,88,84,93,93,93,92,75,75,84,91,100,76,91,100,95,94,84,87,73.08
S0026,Urdaneta I Central School,10,F,Ilocano,Overweight,94,88,82,84,83,76,94,85,99,97,96,93,82,87,82,84,80,75,100,84,82,96,77,86,95,86,88,75,66.82
S0027,Urdaneta I Central School,6,M,Ilocano,Severely Wasted,81,80,94,86,88,84,77,94,90,98,90,98,78,81,88,87,76,89,83,85,87,94,89,98,100,76,88,92,66.82
S0028,Urdaneta I Central School,7,M,Ilocano,Normal,83,89,87,86,93,95,99,99,86,99,89,86,93,81,90,80,77,86,87,85,84,83,87,87,92,88,98,95,66.82
S0029,Urdaneta I Central School,6,F,Tagalog,Obese,99,99,95,87,98,91,96,87,98,94,88,98,80,100,79,88,84,88,83,97,83,97,77,80,85,95,99,89,66.82
S0030,Don Amadeo Perez Sr. Memorial Elementary CS-East,8,M,Tagalog,Obese,85,90,76,96,83,97,82,94,99,95,92,80,90,78,93,80,91,94,91,77,79,87,77,88,96,97,95,88,75.71
S0031,Don Alipio Fernandes Sr. IS,11,M,Tagalog,Normal,100,93,88,85,83,94,93,94,96,78,85,76,95,85,94,99,75,99,100,90,82,100,82,84,81,95,98,79,73.08
S0032,Urdaneta I Central School,7,M,Ilocano,Normal,79,84,87,79,78,79,76,99,87,94,75,96,75,99,90,75,94,97,99,82,85,96,76,93,80,94,88,76,66.82
S0033,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,F,Ilocano,Wasted,98,81,89,75,98,82,98,94,94,87,84,94,93,100,92,79,98,82,91,89,98,92,80,80,82,89,81,82,75.71
